week,category,weekly_rank,show_title,weekly_views,keywords,title_image_url
2024-08-25,Films (Non-English),10,Pretty Guardian Sailor Moon Cosmos The Movie,800000.0,"sequel, based on manga, anime, magical girl, noble sacrifice",https://image.tmdb.org/t/p/w500/8X3nxTHHM2HZCUhCvCzKYDeOeoL.jpg
2024-08-25,TV (English),9,Lost,2100000.0,"egypt, treasure, medallion, swastika, saving the world, nepal, himalaya mountain range, cairo, moses, hat, whip, leather jacket, mediterranean, ark of the covenant, ten commandments, nazi, excavation, riddle, treasure hunt, archaeologist, adventurer, archeology, religious history, 1930s, dramatic",https://image.tmdb.org/t/p/w500/omC5gd03AHx9lRt12vJzAseemyA.jpg
2024-08-25,TV (English),10,Matt Rife: Lucid - A Crowd Work Special,1900000.0,"comedian, stand-up comedy, improvisation, improvised, crowdwork",https://image.tmdb.org/t/p/w500/5ObrP6RumYHRRoIiiyY5IaWs9dV.jpg
2024-08-25,TV (Non-English),6,Terror Tuesday: Extreme,1700000.0,,
2024-08-25,TV (Non-English),7,KENGAN ASHURA,1000000.0,"martial arts, shounen, anime, crossover, original net animation (ona)",https://image.tmdb.org/t/p/w500/etbHJxil0wHvYOCmibzFLsMcl2C.jpg
2024-08-25,TV (Non-English),8,Tokyo Swindlers,900000.0,,
2024-08-25,TV (Non-English),9,Elite,800000.0,special forces,https://image.tmdb.org/t/p/w500/uRF9tZdZvdvAVtTVO7DKd8habTv.jpg
2024-08-25,TV (Non-English),10,Miss Night and Day,800000.0,,
2024-08-18,Films (English),5,Saving Bikini Bottom: The Sandy Cheeks Movie,6200000.0,"squirrel, texas, road trip, save the day, based on tv series, demeaning",https://image.tmdb.org/t/p/w500/30YnfZdMNIV7noWLdvmcJS0cbnQ.jpg
2024-08-18,Films (English),6,Inside the Mind of a Dog,5000000.0,"pet, human animal relationship, scientific study, dog, pet ownership, animal behaviour, observational documentary, social behavior, animal documentary",https://image.tmdb.org/t/p/w500/rajrUCW4fkvdK4EDickfpK9wLbO.jpg
2024-08-18,Films (English),8,Ferdinand,4800000.0,"friendship, spain, madrid, spain, europe, anthropomorphism, remake, bull, based on children's book, capture, joyous, adoring, assertive, cheerful, empathetic, enthusiastic, excited",https://image.tmdb.org/t/p/w500/rMm94JsRfcOPiPVsTRcBiiVBOhz.jpg
2024-08-18,Films (English),9,Ambulance,4100000.0,"ambulance, car crash, remake, officer involved shooting, los angeles, california, bank robbery, veteran, heist gone wrong, bank heist, police helicopter, brother brother relationship, enthusiastic",https://image.tmdb.org/t/p/w500/hUbgg3mMSbY9PlpTxBo4IFUVSd6.jpg
2024-08-18,Films (English),10,Trolls Band Together,3200000.0,"pop star, brother, musical, sequel, based on toy, troll, duringcreditsstinger, reunite, sister sister relationship, brother brother relationship, jukebox musical",https://image.tmdb.org/t/p/w500/bkpPTZUdq31UGDovmszsg2CchiI.jpg
2024-08-18,Films (Non-English),6,Perdida,2100000.0,"based on novel or book, school trip, missing child",https://image.tmdb.org/t/p/w500/uzMBxfaRllUwPazFo0wjqlireCm.jpg
2024-08-18,Films (Non-English),9,Dancing Village : The Curse Begins,1000000.0,"dancing, dance, based on novel or book, snake, village, haunting, forest, prequel, ghost, traditional dancer, dance ritual, supernatural horror, terror, traditional dance, supernatural thriller, based on twitter thread",https://image.tmdb.org/t/p/w500/A4kY5RKiPJ0sRknU4NojItr93Jr.jpg
2024-08-18,Films (Non-English),10,Borderless Fog,900000.0,"police, detective, border, human trafficking, murder, female protagonist, investigator, criminal",https://image.tmdb.org/t/p/w500/z6uPuxzFJs7OyTPrl5V0XUITKj5.jpg
2024-08-18,TV (English),6,A Good Girl's Guide to Murder,3700000.0,,
2024-08-18,TV (English),7,Gabby's Dollhouse,1900000.0,,https://image.tmdb.org/t/p/w500/a424OR0tc3DyTJkDIH3JWzfWXlJ.jpg
2024-08-18,TV (English),8,Simone Biles Rising,1800000.0,,
2024-08-18,TV (Non-English),3,Shahmaran,1300000.0,"paradise, short film",https://image.tmdb.org/t/p/w500/1ZRNIs9XeZj2bYMVD47WWwIF7Su.jpg
2024-08-18,TV (Non-English),6,The Influencer,1100000.0,softcore,https://image.tmdb.org/t/p/w500/5UKoGU3y92k9v319DqxzmZUqxfo.jpg
2024-08-18,TV (Non-English),9,Dear Child,900000.0,american frontier,https://image.tmdb.org/t/p/w500/3NkW8lXLo5lHbfJOMALnKLYpXRu.jpg
2024-08-11,Films (English),4,Jack Reacher: Never Go Back,6500000.0,"based on novel or book, homicide, falsely accused, opium, new orleans, louisiana, sequel, false accusations, hdd",https://image.tmdb.org/t/p/w500/cOg3UT2NYWHZxp41vpxAnVCOC4M.jpg
2024-08-11,Films (English),5,Law Abiding Citizen,5800000.0,"prison, assassin, philadelphia, pennsylvania, bomb, secret passage, deal, investigation, explosion, justice, criminal mastermind, district attorney, courtroom, rape and revenge, vigilantism, vigilante justice",https://image.tmdb.org/t/p/w500/wqFq0wzRbuqnQfJJ14aXp36D3BD.jpg
2024-08-11,Films (English),7,The Bad Guys,4600000.0,"based on novel or book, snake, wolf, spider, villain, heist, anthropomorphism, shark, guinea pig, piranha, duringcreditsstinger",https://image.tmdb.org/t/p/w500/7qop80YfuO0BwJa1uXk1DXUUEwv.jpg
2024-08-11,Films (English),8,Jack Reacher,4500000.0,"sniper, coma, based on novel or book, war veteran, mass murder, detective, investigation, betrayal, conspiracy, police chase, investigator, district attorney, defense attorney, military police, loner, purple heart, framed for murder, ex military, off the grid, mass shooting, father daughter relationship, victims, army veteran, backstory, physical evidence, intense, fist fight, mass murderer, forceful, vibrant, gun range",https://image.tmdb.org/t/p/w500/gLv55839pz4lhyKGRaJKbty41yq.jpg
2024-08-11,Films (English),10,PAW Patrol: The Mighty Movie,4200000.0,"superhero, cartoon, mad scientist, sequel, dog, animals, elasticity, kids",https://image.tmdb.org/t/p/w500/aTvePCU7exLepwg5hWySjwxojQK.jpg
2024-08-11,Films (Non-English),6,Kung Fu Hustle,1800000.0,"martial arts, china, magic, gangster, mafia, defense, policeman, wuxia, 1940s, anarchic comedy, pretending to be gay, canton",https://image.tmdb.org/t/p/w500/exbyTbrvRUDKN2mcNEuVor4VFQW.jpg
2024-08-11,Films (Non-English),9,Non Negotiable,1500000.0,"mexico city, mexico, kidnapping, hostage-taking, hostage negotiator, marriage counselling, latin comedy, arguing couple",https://image.tmdb.org/t/p/w500/bHQG4UsLMFCy91gfLAFRpnCOPdP.jpg
2024-08-11,Films (Non-English),10,Savi,1500000.0,"martial arts, fighter, post-apocalyptic future, nuclear holocaust, anime, 拉奥传 殉爱之章, 殉爱之章, 拉奥传-殉爱之章",https://image.tmdb.org/t/p/w500/yZfAVFIlzA61dsHZx5cyUX9PzYX.jpg
2024-08-11,TV (English),6,Joe Rogan: Burn the Boats,2900000.0,stand-up comedy,https://image.tmdb.org/t/p/w500/a4z2rdCCm6owKQeaMG7Sk3sWWBu.jpg
2024-08-11,TV (English),9,Too Hot to Handle,1500000.0,"second sino-japanese war (1937-45), news reporter, newsreel footage, newsreel cameraman, aviatrix",https://image.tmdb.org/t/p/w500/bdfmUhmuWT0QJllnIJcoJ0aCVuB.jpg
2024-08-11,TV (English),10,Vikings: Valhalla,1300000.0,,
2024-08-11,TV (Non-English),7,Love is Blind: Mexico,1200000.0,,
2024-08-11,TV (Non-English),8,Desperate Lies,1200000.0,,
2024-08-11,TV (Non-English),9,Rising Impact,1100000.0,,
2024-08-11,TV (Non-English),10,Another Self,900000.0,"video game, based on video game, anime, persona, short film",https://image.tmdb.org/t/p/w500/vKO0ZshrMYneuQoE9QDsPztMZGa.jpg
2024-08-04,Films (English),3,Don't Breathe 2,5900000.0,"home, invasion, sin, sequel, gunfight, blind, home invasion, criminal, handgun, aftercreditsstinger, blind man, hammer",https://image.tmdb.org/t/p/w500/r7HEBkkRN93d3eFBZgPJfRaob5p.jpg
2024-08-04,Films (English),5,Find Me Falling,5600000.0,"rock star, house",https://image.tmdb.org/t/p/w500/pMWpIPJgL4lYNKxSVMRDFWITeMW.jpg
2024-08-04,Films (English),7,Failure to Launch,4800000.0,"sailboat, sports car, parent child relationship, extreme sports, sailing, romcom, young boy, dating, intervention, lying, expert, living with parents, pretend relationship, hanging out, secret, best friends, adult son, romantic, boat salesman",https://image.tmdb.org/t/p/w500/wQrNTe7VDytVDet9Jus6RDKEPYZ.jpg
2024-08-04,Films (English),9,Ghostbusters: Frozen Empire,3800000.0,"new york city, supernatural, ghostbuster, sequel, teenage girl, ghost, duringcreditsstinger, research laboratory, evil force, playful, ancient artifact",https://image.tmdb.org/t/p/w500/e1J2oNzSBdou01sUvriVuoYp0pJ.jpg
2024-08-04,Films (English),10,The Marksman,3600000.0,"assassin, mexico, war veteran, usa–mexico border, murder, drug cartel, farmer, dead dog, road movie",https://image.tmdb.org/t/p/w500/6vcDalR50RWa309vBH1NLmG2rjQ.jpg
2024-08-04,Films (Non-English),4,Mr. & Mrs. Mahi,2600000.0,"sports, cricket",https://image.tmdb.org/t/p/w500/x1v8Qzvp46WEpxoBFlqaGfSsAxw.jpg
2024-08-04,Films (Non-English),6,Blame the Game,2000000.0,"ex-boyfriend, old friends, get together, game night, board games",https://image.tmdb.org/t/p/w500/d0UeupV6kpfDhb5Gx2RclQdxa3W.jpg
2024-08-04,Films (Non-English),8,House of Ga'a,1600000.0,,https://image.tmdb.org/t/p/w500/6yK9hmS641NMwRkR1wWAALWI34t.jpg
2024-08-04,Films (Non-English),9,Wonderland,1400000.0,"robbery, junkie, investigation, based on true story, porn star, murder, los angeles, california, drugs, 1980s",https://image.tmdb.org/t/p/w500/mfG8S7D4rYeVqvTzjc3D36PAK3R.jpg
2024-08-04,Films (Non-English),10,Vanished into the Night,1300000.0,,https://image.tmdb.org/t/p/w500/f83MF5KVFRs5zuFCPlb6UQV1Yo9.jpg
2024-08-04,TV (English),4,Dirty Pop: The Boy Band Scam,3500000.0,,
2024-08-04,TV (English),8,The Decameron,2100000.0,,
2024-08-04,TV (English),10,Supacell,1400000.0,,
2024-08-04,TV (Non-English),2,Master of the House,2100000.0,silent film,https://image.tmdb.org/t/p/w500/iRxogRnql0tmHRhuH8XsV1pOSFr.jpg
2024-08-04,TV (Non-English),7,Sweet Home,1200000.0,"worker, based on novel or book, house, middle class, family relationships, female protagonist, sandwich generation",https://image.tmdb.org/t/p/w500/orf0k9sdNhXX8LdUnzPWu3COq2S.jpg
2024-08-04,TV (Non-English),8,Kleo,1100000.0,,https://image.tmdb.org/t/p/w500/oqC9FVpslRdKKV0CJ0AHoL906ZB.jpg
2024-08-04,TV (Non-English),9,The Yara Gambirasio Case: Beyond Reasonable Doubt,800000.0,,
2024-07-28,Films (English),4,Land of Bad,6900000.0,"air force, battle, behind enemy lines, special ops, rescue operation, intense, cliché",https://image.tmdb.org/t/p/w500/h3jYanWMEJq6JJsCopy1h7cT2Hs.jpg
2024-07-28,Films (English),5,Beverly Hills Cop: Axel F,4500000.0,"daughter, detective, los angeles, california, beverly hills, black cop, buddy cop, detective comedy, adoring",https://image.tmdb.org/t/p/w500/zszRKfzjM5jltiq8rk6rasKVpUv.jpg
2024-07-28,Films (English),6,Titanic,3500000.0,"epic, ship, drowning, panic, shipwreck, evacuation, iceberg, titanic, forbidden love, ocean liner, based on true story, rich woman poor man, love, tragedy, tragic love, disaster, historical fiction, class differences, love affair, historical event, lifeboat, star crossed lovers, sinking ship, steerage, rich snob, disaster movie, 1910s, sunken ship, romantic",https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
2024-07-28,Films (English),7,A Family Affair,3300000.0,"age difference, personal assistant, actor, age-gap relationship",https://image.tmdb.org/t/p/w500/l0CaVyqnTsWwNd4hWsrLNEk1Wjd.jpg
2024-07-28,Films (English),9,Hillbilly Elegy,3000000.0,"child abuse, based on novel or book, heroin, drug addiction, american dream, overdose, kentucky, ohio, yale university, drug rehabilitation, hillbilly, based on memoir or autobiography, single mother, teenage boy, law student, grandmother, appalachian, 1990s, appalachian mountains, mother son relationship, traditional family, mother son estrangement, childhood memory, small town life, negative, absurd, hilarious",https://image.tmdb.org/t/p/w500/aA0D6DKIfLtXYNy94Qq2IW5NiGR.jpg
2024-07-28,Films (English),10,Anyone But You,3000000.0,"australia, hiking, romcom, based on play or musical, law school, shakespeare in modern dress, aftercreditsstinger, duringcreditsstinger, fake dating, destination wedding, sister's wedding",https://image.tmdb.org/t/p/w500/5qHoazZiaLe7oFBok7XlUhg96f2.jpg
2024-07-28,Films (Non-English),10,Munkar,1200000.0,,https://image.tmdb.org/t/p/w500/9wQK8BxzosMWOgJYV6tsoBOd2wu.jpg
2024-07-28,TV (English),7,Homicide,2400000.0,"detective, confidence, jewish life, cop, anti-semitism, jewish american",https://image.tmdb.org/t/p/w500/1CywcTyQ2Dbh7LA0Lcf13iaC1ig.jpg
2024-07-28,TV (English),10,Bridgerton,1500000.0,,
2024-07-28,TV (Non-English),9,Eve,1300000.0,,https://image.tmdb.org/t/p/w500/4tAjGO7gYBhYQWnwoqTpRFA3I7N.jpg
2024-07-28,TV (Non-English),10,Tribhuvan Mishra CA Topper,1200000.0,,
2024-07-21,Films (English),7,The Long Game,5100000.0,"texas, golf, based on true story, mexican american, 1950s, latino, inspirational",https://image.tmdb.org/t/p/w500/inta4LBe5fJsjgsZjCT6nxjSHso.jpg
2024-07-21,Films (English),9,Paw Patrol: The Movie,3200000.0,"cartoon, dog, animals, kids",https://image.tmdb.org/t/p/w500/jXavWyam2VPR6bOhLwwuP3K2Hw4.jpg
2024-07-21,Films (Non-English),4,The Champion,2800000.0,"sports, black and white, silent film, boxing, short film",https://image.tmdb.org/t/p/w500/jRLpmw9VfbdHVT1NAAFKESVok3P.jpg
2024-07-21,Films (Non-English),5,Exhuma,2400000.0,"ritual, coffin, exorcism, grave, curse, shaman, undertaker, illness, tomb, occult, ghost, grave digging, ancestor, vexed, shamanism, japanese occupation of korea, evil spirits, distressing",https://image.tmdb.org/t/p/w500/6dasJ58GGFcC62H9KuukAryltUp.jpg
2024-07-21,Films (Non-English),7,Lobola Man,2000000.0,,https://image.tmdb.org/t/p/w500/3uaQ6ETNU3osziF66Qkj0C31ziy.jpg
2024-07-21,Films (Non-English),8,Wild Wild Punjab,1900000.0,,https://image.tmdb.org/t/p/w500/5EpIjplAtUiFyjR6C2gYN6xPiCP.jpg
2024-07-21,Films (Non-English),9,Goyo,1800000.0,"love, asperger's syndrome",https://image.tmdb.org/t/p/w500/fCjC1RRbEJUpDjM55RNUMXQen0b.jpg
2024-07-21,Films (Non-English),10,Maharaj,1400000.0,"based on novel or book, adaptation",https://image.tmdb.org/t/p/w500/3WgxA2nSzAgMR4DYDty0O9wx68x.jpg
2024-07-21,TV (English),8,Exploding Kittens,1900000.0,,
2024-07-21,TV (Non-English),8,Gangs of Galicia,1100000.0,,
2024-07-21,TV (Non-English),9,Eva Lasting,900000.0,,
2024-07-21,TV (Non-English),10,Rhythm + Flow France,900000.0,,
2024-07-14,Films (English),4,The Equalizer,4200000.0,"assassin, corruption, hitman, call girl, sadism, hostage, gangster, fbi, gore, remake, sociopath, revenge, vigilante, organized crime, teenage prostitute, commando, interrogation, surveillance, fake death, ex soldier, loner, black ops, hand to hand combat, mysterious past, vigilante justice, intense",https://image.tmdb.org/t/p/w500/9u4yW7yPA0BQ2pv9XwiNzItwvp8.jpg
2024-07-14,Films (English),7,Minions,3500000.0,"assistant, villain, prequel, aftercreditsstinger, duringcreditsstinger, evil mastermind, supervillain, illumination",https://image.tmdb.org/t/p/w500/dr02BdCNAUPVU07aOodwPYv6HCf.jpg
2024-07-14,Films (English),8,Trigger Warning,3300000.0,"death of father, conspiracy, special forces, return to hometown",https://image.tmdb.org/t/p/w500/6XJM3C47iGOK9nFU6yLFCSf4U5c.jpg
2024-07-14,Films (English),9,The Boss Baby,3100000.0,"baby, villain, family relationships, puppy, sibling rivalry, unreliable narrator, aftercreditsstinger, baby brother",https://image.tmdb.org/t/p/w500/unPB1iyEeTBcKiLg8W083rlViFH.jpg
2024-07-14,Films (English),10,Matilda,2900000.0,"based on novel or book, parent child relationship, difficult childhood, child prodigy, childhood trauma, telekinesis, school, teacher student relationship, schoolmarm, based on young adult novel",https://image.tmdb.org/t/p/w500/wYoDpWInsBEVSmWStnRH06ddoyk.jpg
2024-07-14,Films (Non-English),3,Srikanth,3400000.0,,https://image.tmdb.org/t/p/w500/nkWF1jIMQqWZSShNTAdBUqrdFsZ.jpg
2024-07-14,TV (English),2,The Man with 1000 Kids,5400000.0,,
2024-07-14,TV (English),5,Worst Roommate Ever,2300000.0,"roommates, squatter",
2024-07-14,TV (English),6,Receiver,2200000.0,,https://image.tmdb.org/t/p/w500/acRhYuc4GmeNp7RDZ53knY1L360.jpg
2024-07-14,TV (English),7,Hannah Berner: We Ride at Dawn,1900000.0,stand-up comedy,https://image.tmdb.org/t/p/w500/9wv5zbSJexfC2TrE486w8EqxMyB.jpg
2024-07-14,TV (English),8,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,1900000.0,,https://image.tmdb.org/t/p/w500/rxrWVIl9lDemVBRcs12Gi2PhdQy.jpg
2024-07-14,TV (English),9,SPRINT,1600000.0,sports,https://image.tmdb.org/t/p/w500/1CTHBFDnunRF1bDs8Cy0Y6If1aQ.jpg
2024-07-14,TV (Non-English),6,A Body that Works,1100000.0,"medicine, slice of life, based on manga, cell, anime",https://image.tmdb.org/t/p/w500/uz9IZsyiklsRTI1z7EufroTFdVE.jpg
2024-07-14,TV (Non-English),7,【OSHI NO KO】,1000000.0,"supernatural, reincarnation, remake, based on manga, showbiz, seinen, celebrity worship, based on anime, live action remake, idol group, based on tv series, music, idol",https://image.tmdb.org/t/p/w500/qSPkLxzq2Uref7fRYQvLGNEXzRH.jpg
2024-07-14,TV (Non-English),8,The Boyfriend,900000.0,"violence against women, love, domestic violence",
2024-07-14,TV (Non-English),9,The Rising of the Shield Hero,900000.0,,https://image.tmdb.org/t/p/w500/nVpLyIQ14kgYtfLiAO39KyZB05q.jpg
2024-07-14,TV (Non-English),10,Raising Voices,900000.0,,https://image.tmdb.org/t/p/w500/neh2fGrEx1UC1Ukqyj4dRta95sY.jpg
2024-07-07,Films (English),5,Warcraft,4100000.0,"orcs, elves, magic, portal, betrayal, world of warcraft, king, guardian, based on video game, wizard, chieftain, fictional language, warrior, clans, horde, live action and animation, muscles, warcraft, sword and sorcery, mage, dwarves, fictional world, gryphon, evil sorcerer, draining souls",https://image.tmdb.org/t/p/w500/nZIIOs06YigBnvmlJ2hxZeA8eTO.jpg
2024-07-07,Films (English),7,"Miraculous World: Shanghai, The Legend of LadyDragon",3600000.0,"shanghai, china, superhero",https://image.tmdb.org/t/p/w500/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg
2024-07-07,Films (English),9,The Hard Way,3400000.0,"ex-lover, drugs, romania, death of a brother",https://image.tmdb.org/t/p/w500/hqkqvEkbwLYT1LIgyeK1FcD5Beu.jpg
2024-07-07,Films (Non-English),4,Drawing Closer,2400000.0,terminal illness,https://image.tmdb.org/t/p/w500/173FD4a0rpSF30z4CoWx6qdx8Ry.jpg
2024-07-07,Films (Non-English),5,Tear This Heart Out,2000000.0,,https://image.tmdb.org/t/p/w500/iYklD0eR48grqzxal49I8XjEo8w.jpg
2024-07-07,Films (Non-English),6,Inheritance,1800000.0,"daughter, father, patriarchy, family secrets, buried memories, hidden truth, dark secret",https://image.tmdb.org/t/p/w500/rEpfvgTQsc768zNND0SjMelbnLH.jpg
2024-07-07,Films (Non-English),8,The Three Musketeers: Milady,1100000.0,"musketeer, 1620s, three musketeers",https://image.tmdb.org/t/p/w500/rWMwmTktUaxHBWV1VlJWUFkOOhk.jpg
2024-07-07,Films (Non-English),9,Politically Incorrect,900000.0,"political party, political satire, elections",https://image.tmdb.org/t/p/w500/6THcSXF7glxgdYZB5cgI2gC2DFh.jpg
2024-07-07,Films (Non-English),10,Godzilla Minus One,900000.0,"monster, loss of loved one, giant monster, kamikaze, duty, atomic bomb test, radioactivity, naval combat, reboot, kaiju, macabre, duringcreditsstinger, post war japan, 1940s, naval battle, naval battleship, found family, godzilla, war orphan, survivor guilt, tokusatsu, 哥斯拉-1.0",https://image.tmdb.org/t/p/w500/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg
2024-07-07,TV (English),5,Owning Manhattan,2600000.0,,
2024-07-07,TV (English),8,That '90s Show,1800000.0,,
2024-07-07,TV (English),9,The Mole,1800000.0,north korea,https://image.tmdb.org/t/p/w500/mA76drf6b9UdtbIJDBU5hci8QPu.jpg
2024-07-07,TV (Non-English),4,The Whirlwind,1800000.0,,https://image.tmdb.org/t/p/w500/vVhMGCg3OGB0f9SIgMwsJWe4DgS.jpg
2024-07-07,TV (Non-English),6,Òlòtūré: The Journey,1700000.0,,
2024-07-07,TV (Non-English),8,The Turkish Passion,1400000.0,"infidelity, based on novel or book, sexual attraction",https://image.tmdb.org/t/p/w500/fLMjCgzkS4GejHopJNpYpbOwNSw.jpg
2024-06-30,Films (English),3,Kiss the Girls,7100000.0,"based on novel or book, escape, kidnapping, detective, fbi, investigation, north carolina, psychologist, serial killer, psychological thriller, los angeles, california, doctor, kickboxing, missing person, uncle niece relationship, police psychologist, homicide investigation, psychological detective, psychological profiling",https://image.tmdb.org/t/p/w500/25h5I3E3ydhazsPDnscWHivq5pn.jpg
2024-06-30,Films (English),4,Marry Me,4300000.0,"marriage, celebrity, based on comic, wedding, duringcreditsstinger",https://image.tmdb.org/t/p/w500/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg
2024-06-30,Films (English),5,Ultraman: Rising,3700000.0,"hero, superhero, villain, baseball player, kaiju, duringcreditsstinger, supervillain, kyodai hero, 3d animation, ultraman, henshin heroes",https://image.tmdb.org/t/p/w500/cYaThZqtLuBThBcrV6YRLLwL8F5.jpg
2024-06-30,Films (English),6,John Wick,3500000.0,"hitman, bratva (russian mafia), gangster, secret organization, revenge, murder, dog, retired, widower",https://image.tmdb.org/t/p/w500/TxbvYS8wsgYSpYZtQLZXnoVOIQ.jpg
2024-06-30,Films (English),7,Dracula Untold,3300000.0,"hero, monster, vampire, bite, bravery, supernatural, prince, heroism, battle, 15th century, ottoman empire, dracula, dramatic, intense",https://image.tmdb.org/t/p/w500/xJJFZ7tYASyQ7rNOLTrb2JpDc7A.jpg
2024-06-30,Films (English),8,The Flash,3300000.0,"hero, secret identity, superhero, based on comic, superhuman, super power, aftercreditsstinger, butterfly effect, dc extended universe (dceu), superhuman abilities, loss of mother",https://image.tmdb.org/t/p/w500/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg
2024-06-30,Films (Non-English),4,The Accidental Twins,2000000.0,"twins, twins separated at birth",https://image.tmdb.org/t/p/w500/lz1ZBXMiDZ3s8nBA4qrjFCvdMXV.jpg
2024-06-30,Films (Non-English),6,Minha Vida Em Marte,1200000.0,,https://image.tmdb.org/t/p/w500/tJHWvQOdOj7G52wMKwq7heRUrkj.jpg
2024-06-30,Films (Non-English),7,Kleks Academy,1200000.0,"magic, school, academy, fairy tale characters, inspired by novel or book",https://image.tmdb.org/t/p/w500/ymbECZscR8BTkdvXziSinMIckAz.jpg
2024-06-30,Films (Non-English),8,Lohusa,1100000.0,,https://image.tmdb.org/t/p/w500/5XOLpO3Ugp6c5cklMe71d7hsO1X.jpg
2024-06-30,Films (Non-English),9,Colors of Evil: Red,1000000.0,"sea, based on novel or book, police, judge, past, prosecutor, dead daughter, investigate, young dead girl",https://image.tmdb.org/t/p/w500/5NAdIXaF2AhewMFMqFvbxZmDC3M.jpg
2024-06-30,Films (Non-English),10,Mallari,1000000.0,"mass murder, based on true story, serial killer, occult, catholicism, catholic priest, 19th century, triple role",https://image.tmdb.org/t/p/w500/k11utHsPpfYdC5cr53TYe82ddV7.jpg
2024-06-30,TV (English),7,Your Honor,2000000.0,,https://image.tmdb.org/t/p/w500/uDLg7QvmUi76Qt3naWCa0lwiqRx.jpg
2024-06-30,TV (English),8,Queen Charlotte: A Bridgerton Story,1800000.0,,
2024-06-30,TV (English),9,Sweet Tooth,1800000.0,,https://image.tmdb.org/t/p/w500/ba33XF0gaV6DIzBfkthctzijTzv.jpg
2024-06-30,TV (English),10,Perfect Match,1700000.0,"eroticism, ghost story",https://image.tmdb.org/t/p/w500/s8wcMzeFJadfbVt40ietjDJ6JAm.jpg
2024-06-30,TV (Non-English),2,Love Is Blind: Brazil,2000000.0,"dating show, tv series reunion, reality television",https://image.tmdb.org/t/p/w500/qRNPA0pjTNEZuLEuhF1CeOzpwWS.jpg
2024-06-30,TV (Non-English),6,Hierarchy,1300000.0,,https://image.tmdb.org/t/p/w500/pyoe5bYZK3ZBOucud1CXe3CjRNc.jpg
2024-06-30,TV (Non-English),8,Kota Factory,1100000.0,,
2024-06-30,TV (Non-English),10,Kaulitz & Kaulitz,1000000.0,,
2024-06-23,Films (English),5,Mission: Impossible - Dead Reckoning,4800000.0,"race against time, mission, rome, italy, chase, secret mission, secret agent, sequel, intelligence agency, rogue agent, based on tv series, secret government agency, northern norway",https://image.tmdb.org/t/p/w500/NNxYkU70HPurnNCSiCjYAmacwm.jpg
2024-06-23,Films (English),6,Hit Man,4400000.0,"hitman, identity, professor, new orleans, louisiana, romcom, disguise, screwball comedy, undercover operation, sting operation, based on magazine, newspaper or article, persona, moonlighting, performance, melodramatic",https://image.tmdb.org/t/p/w500/oil3EZwKFp3CWxZnfGfGglesvm9.jpg
2024-06-23,Films (English),7,Tell Them You Love Me,3700000.0,,https://image.tmdb.org/t/p/w500/p2RXFst8nhayAsed8EdkJxZ6ezN.jpg
2024-06-23,Films (English),8,Transformers: Rise of the Beasts,3400000.0,"peru, alien, end of the world, based on toy, robot, duringcreditsstinger, 1990s, brother brother relationship",https://image.tmdb.org/t/p/w500/gPbM0MK8CP8A174rmUwGsADNYKD.jpg
2024-06-23,Films (English),9,Home,3400000.0,"spacecraft, villain, alien, space, alien invasion, alien friendship, awful leader, taking resposibility",https://image.tmdb.org/t/p/w500/usFenYnk6mr8C62dB1MoAfSWMGR.jpg
2024-06-23,Films (English),10,Madame Web,3200000.0,"new york city, superhero, spider, based on comic, super power, paramedic, superhero team, manhattan, new york city, clairvoyant, woman director, teen superhero, web, origin story, 2000s, vision of the future, female superhero, superpower",https://image.tmdb.org/t/p/w500/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg
2024-06-23,Films (Non-English),4,Cuando acecha la maldad,2700000.0,"farm, small town, shotgun, village, possession, gore, goat, demon, police officer, dog, ex-wife, evil, brother brother relationship, body horror",https://image.tmdb.org/t/p/w500/iQ7G9LhP7NRRIUM4Vlai3eOxBAc.jpg
2024-06-23,Films (Non-English),6,Bade Miyan Chote Miyan,1600000.0,,https://image.tmdb.org/t/p/w500/ote8HmQOgmoAfqFaqVKsEdgD2q4.jpg
2024-06-23,Films (Non-English),8,The Quake,1300000.0,"earthquake, geologist, catastrophe, disaster movie, oslo, norway",https://image.tmdb.org/t/p/w500/tbP1vcLKUXRJkuffFe3bfOaRRKQ.jpg
2024-06-23,Films (Non-English),9,Apaixonada,1300000.0,"based on novel or book, romcom",https://image.tmdb.org/t/p/w500/ih0G409JNF8L7Maz3tQwPnLOjD7.jpg
2024-06-23,TV (English),6,Eric,2900000.0,,https://image.tmdb.org/t/p/w500/wBPPzsUxE9TpCBrgEVG8CWXzv1I.jpg
2024-06-23,TV (English),9,Geek Girl,2300000.0,women's rights,https://image.tmdb.org/t/p/w500/17jB4WW9ltjJRyqhIorS6EY4m35.jpg
2024-06-23,TV (Non-English),4,Joko Anwar's Nightmares and Daydreams,2100000.0,,
2024-06-23,TV (Non-English),9,The Atypical Family,1100000.0,,
2024-06-23,TV (Non-English),10,Tour de France: Unchained,900000.0,,
